product_id,sku,product_name,category,sub_category,brand,list_price,unit_cost,launch_date,is_discontinued
P0073,BEA-00073,PureSkin PersonalCare Item 4,Beauty,PersonalCare,PureSkin,2802,1461.27,2024-01-11,0
P0074,ELE-00074,Volt Accessories Item 50,Electronics,Accessories,Volt,65786,41517.99,2025-03-16,0
P0075,BEA-00075,GlowUp Makeup Item 65,Beauty,Makeup,GlowUp,3860,2446.61,2025-01-18,0
P0076,BEA-00076,Essenza PersonalCare Item 44,Beauty,PersonalCare,Essenza,3599,2586.11,2025-08-24,0
P0077,GRO-00077,DailyFresh Fresh Item 89,Grocery,Fresh,DailyFresh,1721,1083.21,2024-10-28,0
P0078,FAS-00078,VogueLine Bags Item 81,Fashion,Bags,VogueLine,8785,6699.44,2024-03-02,0
P0079,SPO-00079,FitPro Yoga Item 39,Sports,Yoga,FitPro,650,362.28,2024-01-05,0
P0080,BEA-00080,Essenza Skincare Item 69,Beauty,Skincare,Essenza,1759,1132.16,2025-10-24,0
P0081,SPO-00081,ZenMove Outdoor Item 22,Sports,Outdoor,ZenMove,5436,3415.55,2024-03-18,1
P0082,SPO-00082,RideOn Cycling Item 5,Sports,Cycling,RideOn,19266,13494.1,2024-06-22,0
P0083,FAS-00083,Knot Men Item 57,Fashion,Men,Knot,3339,1759.71,2024-02-14,0
P0084,ELE-00084,ZenTech Wearables Item 39,Electronics,Wearables,ZenTech,33279,18642.15,2025-04-11,0
P0085,BEA-00085,SilkHair PersonalCare Item 3,Beauty,PersonalCare,SilkHair,3342,1865.52,2025-05-11,0
P0086,BOO-00086,ReadMore Non-Fiction Item 43,Books,Non-Fiction,ReadMore,1905,1051.07,2024-04-27,0
P0087,SPO-00087,ActiveCore Cycling Item 60,Sports,Cycling,ActiveCore,14136,8099.03,2024-07-14,0
P0088,FAS-00088,Aura Kids Item 35,Fashion,Kids,Aura,4772,2551.25,2024-07-20,0
P0089,SPO-00089,ZenMove Outdoor Item 27,Sports,Outdoor,ZenMove,12354,8683.17,2025-08-17,0
P0090,FAS-00090,Knot Footwear Item 32,Fashion,Footwear,Knot,7615,4600.38,2025-07-01,0
P0091,BEA-00091,Essenza PersonalCare Item 4,Beauty,PersonalCare,Essenza,4351,2369.74,2025-01-29,0
P0092,GRO-00092,FarmBasket Fresh Item 9,Grocery,Fresh,FarmBasket,1619,859.77,2024-04-21,0
P0093,SPO-00093,ZenMove TeamSports Item 46,Sports,TeamSports,ZenMove,3180,1571.39,2024-10-16,0
P0094,BEA-00094,PureSkin Fragrance Item 32,Beauty,Fragrance,PureSkin,3152,1446.27,2025-04-18,0
P0095,BOO-00095,StoryHouse Kids Item 6,Books,Kids,StoryHouse,1968,1305.02,2025-11-24,0
P0096,BEA-00096,Essenza Skincare Item 23,Beauty,Skincare,Essenza,2631,1220.08,2025-10-15,0
P0097,SPO-00097,ZenMove Outdoor Item 98,Sports,Outdoor,ZenMove,14550,9477.09,2024-04-24,0
P0098,BOO-00098,ReadMore Academic Item 96,Books,Academic,ReadMore,1719,965.21,2024-12-19,0
P0099,ELE-00099,Astra Audio Item 89,Electronics,Audio,Astra,81251,63475.44,2024-12-14,0
P0100,SPO-00100,ZenMove Cycling Item 6,Sports,Cycling,ZenMove,17072,12332.6,2024-07-12,0
P0101,GRO-00101,Crunchy Fresh Item 53,Grocery,Fresh,Crunchy,563,443.23,2024-12-21,0
P0102,ELE-00102,PixelWave Laptops Item 83,Electronics,Laptops,PixelWave,18580,8399.24,2024-05-16,0
P0103,FAS-00103,Aura Kids Item 87,Fashion,Kids,Aura,9427,4631.39,2024-06-22,0
P0104,GRO-00104,DairyCo Snacks Item 8,Grocery,Snacks,DairyCo,1443,655.6,2024-02-14,0
P0105,FAS-00105,Aura Kids Item 22,Fashion,Kids,Aura,5260,3186.38,2024-10-23,0
P0106,SPO-00106,FitPro Fitness Item 63,Sports,Fitness,FitPro,11168,6059.21,2025-03-20,0
P0107,HOM-00107,Lumi Bedding Item 51,Home,Bedding,Lumi,11972,5714.84,2024-01-26,0
P0108,BOO-00108,StoryHouse Non-Fiction Item 49,Books,Non-Fiction,StoryHouse,1571,1163.54,2024-11-30,0
P0109,HOM-00109,Lumi Furniture Item 73,Home,Furniture,Lumi,12274,6612.53,2024-04-19,0
P0110,BOO-00110,ReadMore Kids Item 21,Books,Kids,ReadMore,1333,870.97,2024-08-20,0
P0111,HOM-00111,HomeCraft Appliances Item 66,Home,Appliances,HomeCraft,1507,874.62,2025-09-17,1
P0112,BEA-00112,SilkHair Haircare Item 93,Beauty,Haircare,SilkHair,4364,2059.6,2024-06-29,1
P0113,HOM-00113,Lumi Appliances Item 55,Home,Appliances,Lumi,14720,7062.14,2025-04-16,0
P0114,SPO-00114,RideOn Outdoor Item 62,Sports,Outdoor,RideOn,11162,6183.34,2025-01-12,0
P0115,GRO-00115,Crunchy Snacks Item 75,Grocery,Snacks,Crunchy,1419,860.72,2025-11-07,0
P0116,FAS-00116,Knot Bags Item 71,Fashion,Bags,Knot,8882,4808.52,2024-07-26,0
P0117,GRO-00117,FarmBasket Staples Item 29,Grocery,Staples,FarmBasket,1402,978.85,2025-04-14,0
P0118,SPO-00118,FitPro Yoga Item 65,Sports,Yoga,FitPro,2927,2013.26,2024-05-17,0
P0119,SPO-00119,FitPro Yoga Item 73,Sports,Yoga,FitPro,15371,9025.65,2024-07-15,0
P0120,BEA-00120,PureSkin Skincare Item 59,Beauty,Skincare,PureSkin,3461,1608.01,2024-08-06,0
